"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-1010295","","Нововладыкинский проезд, 1","","55.848937","37.580139","","","0","","","0","",""
"100457-1010457","","МЦД Внуково","","55.648082","37.271742","","","0","","","0","",""
"100457-1010315","","Детская поликлиника","","55.885949","37.598108","","","0","","","0","",""
"100457-1010316","","Детская поликлиника","","55.885578","37.598392","","","0","","","0","",""
"100457-1010460","","Проектируемый проезд № 7084","","55.645424","37.307242","","","0","","","0","",""
"100457-1010322","","Мякинино парк","","55.802297","37.345037","","","0","","","0","",""
"100457-1010461","","Проектируемый проезд № 7084","","55.645202","37.30886","","","0","","","0","",""
"100457-1010323","","Мякинино парк","","55.801997","37.344649","","","0","","","0","",""
"100457-1010486","","Гурьевский проезд, 11","","55.601813","37.746664","","","0","","","0","",""
"100457-1010337","","Метро «Ховрино»","","55.879851","37.48031","","","0","","","0","",""
"100457-1010347","","Ленинский проспект","","55.688937","37.543334","","","0","","","0","",""
"100457-1010346","","Ленинский проспект","","55.688272","37.54443","","","0","","","0","",""
"100457-1010467","","Посёлок Воскресенское, 60","","55.521104","37.450963","","","0","","","0","",""
"100457-1010470","","Каштановый переулок","","55.52392","37.447694","","","0","","","0","",""
"100457-1010469","","Каштановый переулок","","55.523098","37.44855","","","0","","","0","",""
"100457-1010475","","Бархатная Роща","","55.519236","37.451794","","","0","","","0","",""
"100457-1010476","","Реабилитационно-образовательный центр","","55.641411","37.330272","","","0","","","0","",""
"100457-1010477","","Реабилитационно-образовательный центр","","55.642035","37.330468","","","0","","","0","",""
"100457-20466","","Стадион «Спартак»","","55.81957","37.437221","","","0","","","0","",""
"100457-1010487","","Мирэа - Российский технологический университет","","55.793012","37.698619","","","0","","","0","",""
"100457-20464","","Метро «Спартак»","","55.816093","37.433861","","","0","","","0","",""
"100457-1010390","","Поворот на Милицейский посёлок","","55.51076","37.57404","","","0","","","0","",""
"100457-20465","","Метро «Спартак»","","55.817221","37.434487","","","0","","","0","",""
"100457-1010488","","Улица Маршала Ерёменко, 5","","55.713342","37.946082","","","0","","","0","",""
"100457-1010496","","Северный - 9-й микрорайон","","55.920899","37.539644","","","0","","","0","",""
"100457-20463","","Аэроклубная улица","","55.815584","37.429548","","","0","","","0","",""
"100457-20467","","Стадион «Спартак»","","55.820429","37.438086","","","0","","","0","",""
"100457-20468","","Улица Братьев Старостиных","","55.821377","37.438196","","","0","","","0","",""
"100457-20544","","Кварцевая улица","","55.489505","37.336148","","","0","","","0","",""
"100457-1010421","","Московский","","55.605694","37.354499","","","0","","","0","",""
"100457-1010422","","Метро «Рассказовка»","","55.634297","37.335791","","","0","","","0","",""
"100457-1010440","","Улица Серёгина","","55.794536","37.54671","","","0","","","0","",""
"100457-20617","","Метро «Давыдково»","","55.714397","37.452536","","","0","","","0","",""
"100457-21103","","Очаковский путепровод","","55.677235","37.437071","","","0","","","0","",""
"100457-1010444","","Кастанаевская улица","","55.731359","37.452088","","","0","","","0","",""
"100457-21118","","Цветочная улица","","55.519202","37.493317","","","0","","","0","",""
"100457-21119","","Новое Бутово","","55.522675","37.514287","","","0","","","0","",""
"100457-20973","","МЦД Остафьево","","55.486182","37.553754","","","0","","","0","",""
"100457-20975","","Улица Коломникова","","55.71191","37.718972","","","0","","","0","",""
"100457-21112","","Ильино","","55.179816","37.037483","","","0","","","0","",""
"100457-21113","","Каракашево","","55.523188","37.479101","","","0","","","0","",""
"100457-21114","","Каракашево","","55.523363","37.477724","","","0","","","0","",""
"100457-21133","","МЦД Царицыно","","55.618594","37.666275","","","0","","","0","",""
"100457-21128","","Посёлок «Воскресенское, 37»","","55.522641","37.450793","","","0","","","0","",""
"100457-21115","","Красный Пролетарий","","55.520901","37.48811","","","0","","","0","",""
"100457-21116","","Красный Пролетарий","","55.521457","37.489119","","","0","","","0","",""
"100457-21120","","Проектируемый проезд № 661","","55.522487","37.509131","","","0","","","0","",""
"100457-21117","","Цветочная улица","","55.51919","37.493873","","","0","","","0","",""
"100457-21127","","Мемориал","","55.526501","37.446954","","","0","","","0","",""
"100457-21125","","Мемориал","","55.525962","37.44686","","","0","","","0","",""
"100457-21129","","Детская школа искусств","","55.530726","37.445736","","","0","","","0","",""
"100457-21130","","Язово","","55.522314","37.503418","","","0","","","0","",""
"100457-21131","","Язово","","55.521668","37.501306","","","0","","","0","",""
"100457-21139","","Проектируемый проезд № 265","","55.720926","37.927083","","","0","","","0","",""
"100457-21138","","Проектируемый проезд № 265","","55.720971","37.925523","","","0","","","0","",""
"100457-21141","","Индустриальный парк «Руднёво»","","55.721153","37.934016","","","0","","","0","",""
