"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100457-158","100457-1","640","Метро «Тушинская» - Метро «Щукинская»","","3","","","","","",""
"100457-210","100457-1","11","Останкино - Восточное Измайлово","","0","","","","","",""
"100457-374","100457-1","37","МЦД Новогиреево - Каланчёвская улица","","0","","","","","",""
"100457-489","100457-1","707","Метро «Саларьево» - МЦД Солнечная","","3","","","","","",""
"100457-970","100457-1","23","Улица Фонвизина - ЖК «Юрлово»","","3","","","","","",""
"100457-400","100457-1","648","Метро «Новые Черёмушки» - Метро «Ясенево»","","3","","","","","",""
"100457-701","100457-1","705","Абрамцевская улица - Метро «Бибирево»","","3","","","","","",""
"100457-1074","100457-1","718","МЦД Мещерская - МЦД Мещерская","","3","","","","","",""
"100457-909","100457-1","З-14","14-й микрорайон - Улица 1-го Мая","","3","","","","","",""
"100457-769","100457-1","З-1","14-й микрорайон - СТО Ваз","","3","","","","","",""
"100457-366","100457-1","36","Метрогородок - МЦД Новогиреево","","0","","","","","",""
"100457-232","100457-1","885","3-й микрорайон Новокосина - 3-й микрорайон Новокосина","","3","","","","","",""
"100457-166","100457-1","654","Улица Маршала Прошлякова - 3-й микрорайон Строгина","","3","","","","","",""
